"administrative_level_2","administrative_level_3","day","retail_and_recreation","grocery_and_pharmacy","parks","transit_stations","workplaces","residential"
"Alytaus apskr.","Alytaus m.",2020-12-17,-67,14,NA,NA,-37,16
"Alytaus apskr.","Alytaus m.",2020-12-18,-71,5,-57,-60,-36,19
"Alytaus apskr.","Alytaus m.",2020-12-19,-77,-8,NA,NA,-19,NA
"Alytaus apskr.","Alytaus m.",2020-12-20,-80,3,NA,NA,-13,NA
"Alytaus apskr.","Alytaus m.",2020-12-21,-61,35,NA,NA,-39,15
"Alytaus apskr.","Alytaus m.",2020-12-22,-58,46,NA,NA,-41,15
"Alytaus apskr.","Alytaus m.",2020-12-23,-58,64,NA,NA,-45,17
"Alytaus apskr.","Alytaus m.",2020-12-24,-85,-15,NA,NA,-85,31
"Alytaus apskr.","Alytaus m.",2020-12-25,-95,-93,NA,NA,-90,35
"Alytaus apskr.","Alytaus m.",2020-12-26,-87,-45,NA,NA,-57,NA
"Alytaus apskr.","Alytaus m.",2020-12-27,-78,-12,NA,NA,-21,NA
"Alytaus apskr.","Alytaus m.",2020-12-28,-68,14,NA,NA,-49,20
"Alytaus apskr.","Alytaus m.",2020-12-29,-66,18,NA,NA,-50,20
"Alytaus apskr.","Alytaus m.",2020-12-30,-60,48,NA,NA,-49,19
"Alytaus apskr.","Alytaus m.",2020-12-31,-67,34,NA,NA,-61,23
"Alytaus apskr.","Alytaus r.",2020-02-15,NA,NA,12,NA,NA,NA
"Alytaus apskr.","Alytaus r.",2020-02-16,NA,NA,10,NA,NA,NA
"Alytaus apskr.","Alytaus r.",2020-02-17,NA,NA,11,NA,-22,NA
"Alytaus apskr.","Alytaus r.",2020-02-18,NA,NA,20,NA,-16,NA
"Alytaus apskr.","Alytaus r.",2020-02-19,NA,NA,15,NA,-18,NA
"Alytaus apskr.","Alytaus r.",2020-02-20,NA,NA,12,NA,-19,NA
"Alytaus apskr.","Alytaus r.",2020-02-21,NA,NA,10,NA,-19,NA
"Alytaus apskr.","Alytaus r.",2020-02-22,NA,NA,7,NA,NA,NA
