"day","age_group","confirmed","confirmed_100k","confirmed_male","confirmed_male_100k","confirmed_female","confirmed_female_100k","other","total","population","population_male","population_female","downloaded"
2020-06-07,"70-79",137,57.8,63,77.1,74,47.7,0,137,236890,81674,155216,2020-06-08 21:29:30
2020-06-07,"Virš 80",161,97.8,47,106.2,114,94.8,0,161,164546,44257,120289,2020-06-08 21:29:30
2020-06-08,"0-9",19,6.5,9,6,10,7.1,0,19,290102,148908,141194,2020-06-09 10:57:16
2020-06-08,"10-19",44,16.7,20,14.8,24,18.7,0,44,263568,134947,128621,2020-06-09 10:57:16
2020-06-08,"20-29",224,65.9,110,62,114,70.3,0,224,339736,177466,162270,2020-06-09 10:57:16
2020-06-08,"30-39",213,59.3,112,59.3,101,59.3,0,213,359239,188972,170267,2020-06-09 10:57:16
2020-06-08,"40-49",277,74.9,115,62.5,162,87.2,0,277,369722,183873,185849,2020-06-09 10:57:16
2020-06-08,"50-59",384,91.6,132,67.2,252,113.2,0,384,419039,196469,222570,2020-06-09 10:57:16
2020-06-08,"60-69",257,73.2,109,73.8,148,72.7,0,257,351248,147788,203460,2020-06-09 10:57:16
2020-06-08,"70-79",137,57.8,63,77.1,74,47.7,0,137,236890,81674,155216,2020-06-09 10:57:16
2020-06-08,"Virš 80",161,97.8,47,106.2,114,94.8,0,161,164546,44257,120289,2020-06-09 10:57:16
2020-06-09,"0-9",19,6.5,9,6,10,7.1,0,19,290102,148908,141194,2020-06-10 14:33:39
2020-06-09,"10-19",44,16.7,20,14.8,24,18.7,0,44,263568,134947,128621,2020-06-10 14:33:39
2020-06-09,"20-29",224,65.9,110,62,114,70.3,0,224,339736,177466,162270,2020-06-10 14:33:39
2020-06-09,"30-39",217,60.4,113,59.8,104,61.1,0,217,359239,188972,170267,2020-06-10 14:33:39
2020-06-09,"40-49",282,76.3,118,64.2,164,88.2,0,282,369722,183873,185849,2020-06-10 14:33:39
2020-06-09,"50-59",387,92.4,134,68.2,253,113.7,0,387,419039,196469,222570,2020-06-10 14:33:39
2020-06-09,"60-69",261,74.3,110,74.4,151,74.2,0,261,351248,147788,203460,2020-06-10 14:33:39
2020-06-09,"70-79",138,58.3,64,78.4,74,47.7,0,138,236890,81674,155216,2020-06-10 14:33:39
2020-06-09,"Virš 80",161,97.8,47,106.2,114,94.8,0,161,164546,44257,120289,2020-06-10 14:33:39
2020-06-10,"0-9",19,6.5,9,6,10,7.1,0,19,290102,148908,141194,2020-06-11 10:41:06
2020-06-10,"10-19",44,16.7,20,14.8,24,18.7,0,44,263568,134947,128621,2020-06-11 10:41:06
2020-06-10,"20-29",224,65.9,110,62,114,70.3,0,224,339736,177466,162270,2020-06-11 10:41:06
2020-06-10,"30-39",217,60.4,113,59.8,104,61.1,0,217,359239,188972,170267,2020-06-11 10:41:06
2020-06-10,"40-49",282,76.3,118,64.2,164,88.2,0,282,369722,183873,185849,2020-06-11 10:41:06
2020-06-10,"50-59",387,92.4,134,68.2,253,113.7,0,387,419039,196469,222570,2020-06-11 10:41:06
2020-06-10,"60-69",261,74.3,110,74.4,151,74.2,0,261,351248,147788,203460,2020-06-11 10:41:06
2020-06-10,"70-79",138,58.3,64,78.4,74,47.7,0,138,236890,81674,155216,2020-06-11 10:41:06
2020-06-10,"Virš 80",161,97.8,47,106.2,114,94.8,0,161,164546,44257,120289,2020-06-11 10:41:06
2020-06-11,"0-9",22,7.6,10,6.7,12,8.5,0,22,290102,148908,141194,2020-06-12 11:40:57
2020-06-11,"10-19",47,17.8,22,16.3,25,19.4,0,47,263568,134947,128621,2020-06-12 11:40:57
2020-06-11,"20-29",226,66.5,110,62,116,71.5,0,226,339736,177466,162270,2020-06-12 11:40:57
2020-06-11,"30-39",219,61,115,60.9,104,61.1,0,219,359239,188972,170267,2020-06-12 11:40:57
2020-06-11,"40-49",288,77.9,119,64.7,169,90.9,0,288,369722,183873,185849,2020-06-12 11:40:57
2020-06-11,"50-59",392,93.5,137,69.7,255,114.6,0,392,419039,196469,222570,2020-06-12 11:40:57
2020-06-11,"60-69",261,74.3,110,74.4,151,74.2,0,261,351248,147788,203460,2020-06-12 11:40:57
2020-06-11,"70-79",139,58.7,64,78.4,75,48.3,0,139,236890,81674,155216,2020-06-12 11:40:57
2020-06-11,"Virš 80",162,98.5,47,106.2,115,95.6,0,162,164546,44257,120289,2020-06-12 11:40:57
2020-06-12,"0-9",22,7.6,10,6.7,12,8.5,0,22,290102,148908,141194,2020-06-13 23:00:00
2020-06-12,"10-19",47,17.8,22,16.3,25,19.4,0,47,263568,134947,128621,2020-06-13 23:00:00
2020-06-12,"20-29",226,66.5,110,62,116,71.5,0,226,339736,177466,162270,2020-06-13 23:00:00
2020-06-12,"30-39",219,61,115,60.9,104,61.1,0,219,359239,188972,170267,2020-06-13 23:00:00
2020-06-12,"40-49",290,78.4,120,65.3,170,91.5,0,290,369722,183873,185849,2020-06-13 23:00:00
2020-06-12,"50-59",397,94.7,139,70.7,258,115.9,0,397,419039,196469,222570,2020-06-13 23:00:00
2020-06-12,"60-69",261,74.3,110,74.4,151,74.2,0,261,351248,147788,203460,2020-06-13 23:00:00
2020-06-12,"70-79",139,58.7,64,78.4,75,48.3,0,139,236890,81674,155216,2020-06-13 23:00:00
2020-06-12,"Virš 80",162,98.5,47,106.2,115,95.6,0,162,164546,44257,120289,2020-06-13 23:00:00
2020-06-13,"0-9",22,7.6,10,6.7,12,8.5,0,22,290102,148908,141194,2020-06-14 12:46:07
2020-06-13,"10-19",47,17.8,22,16.3,25,19.4,0,47,263568,134947,128621,2020-06-14 12:46:07
2020-06-13,"20-29",226,66.5,110,62,116,71.5,0,226,339736,177466,162270,2020-06-14 12:46:07
2020-06-13,"30-39",221,61.5,116,61.4,105,61.7,0,221,359239,188972,170267,2020-06-14 12:46:07
2020-06-13,"40-49",292,79,122,66.4,170,91.5,0,292,369722,183873,185849,2020-06-14 12:46:07
2020-06-13,"50-59",398,95,140,71.3,258,115.9,0,398,419039,196469,222570,2020-06-14 12:46:07
2020-06-13,"60-69",261,74.3,110,74.4,151,74.2,0,261,351248,147788,203460,2020-06-14 12:46:07
2020-06-13,"70-79",139,58.7,64,78.4,75,48.3,0,139,236890,81674,155216,2020-06-14 12:46:07
2020-06-13,"Virš 80",162,98.5,47,106.2,115,95.6,0,162,164546,44257,120289,2020-06-14 12:46:07
2020-06-14,"0-9",22,7.6,10,6.7,12,8.5,0,22,290102,148908,141194,2020-06-15 16:20:06
2020-06-14,"10-19",48,18.2,23,17,25,19.4,0,48,263568,134947,128621,2020-06-15 16:20:06
2020-06-14,"20-29",226,66.5,110,62,116,71.5,0,226,339736,177466,162270,2020-06-15 16:20:06
2020-06-14,"30-39",221,61.5,116,61.4,105,61.7,0,221,359239,188972,170267,2020-06-15 16:20:06
2020-06-14,"40-49",294,79.5,122,66.4,172,92.5,0,294,369722,183873,185849,2020-06-15 16:20:06
2020-06-14,"50-59",399,95.2,141,71.8,258,115.9,0,399,419039,196469,222570,2020-06-15 16:20:06
2020-06-14,"60-69",262,74.6,110,74.4,152,74.7,0,262,351248,147788,203460,2020-06-15 16:20:06
2020-06-14,"70-79",139,58.7,64,78.4,75,48.3,0,139,236890,81674,155216,2020-06-15 16:20:06
2020-06-14,"Virš 80",162,98.5,47,106.2,115,95.6,0,162,164546,44257,120289,2020-06-15 16:20:06
2020-06-15,"0-9",22,7.6,10,6.7,12,8.5,0,22,290102,148908,141194,2020-06-16 11:42:10
2020-06-15,"10-19",48,18.2,23,17,25,19.4,0,48,263568,134947,128621,2020-06-16 11:42:10
2020-06-15,"20-29",226,66.5,110,62,116,71.5,0,226,339736,177466,162270,2020-06-16 11:42:10
2020-06-15,"30-39",221,61.5,116,61.4,105,61.7,0,221,359239,188972,170267,2020-06-16 11:42:10
2020-06-15,"40-49",294,79.5,122,66.4,172,92.5,0,294,369722,183873,185849,2020-06-16 11:42:10
2020-06-15,"50-59",399,95.2,141,71.8,258,115.9,0,399,419039,196469,222570,2020-06-16 11:42:10
2020-06-15,"60-69",264,75.2,111,75.1,153,75.2,0,264,351248,147788,203460,2020-06-16 11:42:10
2020-06-15,"70-79",139,58.7,64,78.4,75,48.3,0,139,236890,81674,155216,2020-06-16 11:42:10
2020-06-15,"Virš 80",163,99.1,48,108.5,115,95.6,0,163,164546,44257,120289,2020-06-16 11:42:10
2020-06-16,"0-9",22,7.6,10,6.7,12,8.5,0,22,290102,148908,141194,2020-06-17 11:00:38
2020-06-16,"10-19",48,18.2,23,17,25,19.4,0,48,263568,134947,128621,2020-06-17 11:00:38
2020-06-16,"20-29",226,66.5,110,62,116,71.5,0,226,339736,177466,162270,2020-06-17 11:00:38
2020-06-16,"30-39",221,61.5,116,61.4,105,61.7,0,221,359239,188972,170267,2020-06-17 11:00:38
2020-06-16,"40-49",294,79.5,122,66.4,172,92.5,0,294,369722,183873,185849,2020-06-17 11:00:38
2020-06-16,"50-59",399,95.2,141,71.8,258,115.9,0,399,419039,196469,222570,2020-06-17 11:00:38
2020-06-16,"60-69",264,75.2,111,75.1,153,75.2,0,264,351248,147788,203460,2020-06-17 11:00:38
2020-06-16,"70-79",139,58.7,64,78.4,75,48.3,0,139,236890,81674,155216,2020-06-17 11:00:38
2020-06-16,"Virš 80",163,99.1,48,108.5,115,95.6,0,163,164546,44257,120289,2020-06-17 11:00:38
2020-06-17,"0-9",22,7.6,10,6.7,12,8.5,0,22,290102,148908,141194,2020-06-18 12:53:34
2020-06-17,"10-19",49,18.6,24,17.8,25,19.4,0,49,263568,134947,128621,2020-06-18 12:53:34
2020-06-17,"20-29",227,66.8,111,62.5,116,71.5,0,227,339736,177466,162270,2020-06-18 12:53:34
2020-06-17,"30-39",222,61.8,117,61.9,105,61.7,0,222,359239,188972,170267,2020-06-18 12:53:34
2020-06-17,"40-49",296,80.1,123,66.9,173,93.1,0,296,369722,183873,185849,2020-06-18 12:53:34
2020-06-17,"50-59",400,95.5,141,71.8,259,116.4,0,400,419039,196469,222570,2020-06-18 12:53:34
2020-06-17,"60-69",266,75.7,112,75.8,154,75.7,0,266,351248,147788,203460,2020-06-18 12:53:34
2020-06-17,"70-79",139,58.7,64,78.4,75,48.3,0,139,236890,81674,155216,2020-06-18 12:53:34
2020-06-17,"Virš 80",163,99.1,48,108.5,115,95.6,0,163,164546,44257,120289,2020-06-18 12:53:34
2020-06-18,"0-9",22,7.6,10,6.7,12,8.5,0,22,290102,148908,141194,2020-06-19 11:18:32
2020-06-18,"10-19",49,18.6,24,17.8,25,19.4,0,49,263568,134947,128621,2020-06-19 11:18:32
2020-06-18,"20-29",227,66.8,111,62.5,116,71.5,0,227,339736,177466,162270,2020-06-19 11:18:32
2020-06-18,"30-39",223,62.1,117,61.9,106,62.3,0,223,359239,188972,170267,2020-06-19 11:18:32
2020-06-18,"40-49",298,80.6,125,68,173,93.1,0,298,369722,183873,185849,2020-06-19 11:18:32
