"administrative_level_2","administrative_level_3","age_gr","at_risk"
"Vilniaus apskr.","Šalčininkų r.","70-79",1293
"Vilniaus apskr.","Švenčionių r.","50-59",1599
"Kauno apskr.","Birštono","30-39",174
"Vilniaus apskr.","Elektrėnų","50-59",1791
"Marijampolės apskr.","Kazlų Rūdos","40-49",592
"Klaipėdos apskr.","Klaipėdos m.","60-69",10311
"Alytaus apskr.","Lazdijų r.","60-69",1134
"Panevėžio apskr.","Panevėžio m.","50-59",6767
"Panevėžio apskr.","Panevėžio r.","20-29",1793
"Vilniaus apskr.","Vilniaus m.","80+",18343
"Vilniaus apskr.","Elektrėnų","20-29",1130
"Klaipėdos apskr.","Klaipėdos m.","30-39",10305
"Marijampolės apskr.","Marijampolės","20-29",2989
"Klaipėdos apskr.","Neringos","40-49",212
"Utenos apskr.","Utenos r.","70-79",2281
"Vilniaus apskr.","Šalčininkų r.","50-59",1925
"Klaipėdos apskr.","Šilutės r.","50-59",2708
"Alytaus apskr.","Alytaus m.","40-49",2729
"Utenos apskr.","Anykščių r.","70-79",1574
"Kauno apskr.","Birštono","40-49",174
"Alytaus apskr.","Druskininkų","70-79",1278
"Šiaulių apskr.","Kelmės r.","70-79",909
"Vilniaus apskr.","Trakų r.","20-29",1955
"Vilniaus apskr.","Vilniaus r.","80+",2651
"Šiaulių apskr.","Šiaulių r.","20-29",2510
"Utenos apskr.","Anykščių r.","60-69",1476
"Marijampolės apskr.","Kalvarijos","40-49",479
"Klaipėdos apskr.","Neringos","30-39",270
"Kauno apskr.","Prienų r.","80+",528
"Alytaus apskr.","Varėnos r.","60-69",1627
"Marijampolės apskr.","Vilkaviškio r.","80+",1593
"Tauragės apskr.","Šilalės r.","50-59",1560
"Alytaus apskr.","Druskininkų","30-39",722
"Marijampolės apskr.","Kalvarijos","40-49",569
"Marijampolės apskr.","Kazlų Rūdos","40-49",686
"Panevėžio apskr.","Pasvalio r.","20-29",1166
"Vilniaus apskr.","Ukmergės r.","30-39",1504
"Klaipėdos apskr.","Šilutės r.","50-59",2704
"Vilniaus apskr.","Širvintų r.","50-59",1154
"Panevėžio apskr.","Biržų r.","70-79",830
"Kauno apskr.","Jonavos r.","20-29",2190
"Kauno apskr.","Jonavos r.","30-39",1845
"Tauragės apskr.","Tauragės r.","60-69",2489
"Tauragės apskr.","Tauragės r.","40-49",1865
"Klaipėdos apskr.","Šilutės r.","70-79",1922
"Vilniaus apskr.","Švenčionių r.","80+",383
"Utenos apskr.","Anykščių r.","50-59",1890
"Marijampolės apskr.","Marijampolės","60-69",3681
"Telšių apskr.","Mažeikių r.","80+",1695
"Telšių apskr.","Rietavo","40-49",307
"Panevėžio apskr.","Rokiškio r.","50-59",2277
"Vilniaus apskr.","Trakų r.","50-59",2166
"Vilniaus apskr.","Vilniaus r.","20-29",4520
"Alytaus apskr.","Alytaus m.","50-59",3578
"Utenos apskr.","Ignalinos r.","30-39",304
"Šiaulių apskr.","Joniškio r.","50-59",1698
"Klaipėdos apskr.","Klaipėdos r.","50-59",4367
"Klaipėdos apskr.","Neringos","60-69",187
"Klaipėdos apskr.","Skuodo r.","80+",262
"Vilniaus apskr.","Širvintų r.","70-79",873
"Utenos apskr.","Ignalinos r.","70-79",1075
"Šiaulių apskr.","Kelmės r.","60-69",1558
"Panevėžio apskr.","Kupiškio r.","50-59",1411
"Alytaus apskr.","Lazdijų r.","70-79",1056
"Vilniaus apskr.","Ukmergės r.","30-39",1021
"Marijampolės apskr.","Vilkaviškio r.","20-29",1857
"Vilniaus apskr.","Vilniaus m.","30-39",51853
"Šiaulių apskr.","Pakruojo r.","60-69",1317
"Panevėžio apskr.","Panevėžio r.","70-79",1138
"Panevėžio apskr.","Rokiškio r.","40-49",1485
"Alytaus apskr.","Varėnos r.","50-59",1536
"Marijampolės apskr.","Šakių r.","50-59",2003
"Šiaulių apskr.","Šiaulių r.","80+",608
"Tauragės apskr.","Šilalės r.","30-39",761
"Klaipėdos apskr.","Palangos m.","20-29",686
"Telšių apskr.","Rietavo","60-69",462
"Klaipėdos apskr.","Skuodo r.","20-29",986
"Vilniaus apskr.","Šalčininkų r.","80+",335
"Šiaulių apskr.","Šiaulių r.","70-79",2114
"Šiaulių apskr.","Šiaulių r.","40-49",2328
"Klaipėdos apskr.","Kretingos r.","70-79",1896
"Marijampolės apskr.","Marijampolės","30-39",2007
"Marijampolės apskr.","Marijampolės","50-59",3863
"Šiaulių apskr.","Radviliškio r.","20-29",2106
"Tauragės apskr.","Tauragės r.","70-79",1119
"Utenos apskr.","Utenos r.","40-49",2007
"Utenos apskr.","Ignalinos r.","40-49",731
"Šiaulių apskr.","Kelmės r.","20-29",1663
"Šiaulių apskr.","Pakruojo r.","30-39",518
"Kauno apskr.","Prienų r.","30-39",1113
"Kauno apskr.","Prienų r.","50-59",1841
"Tauragės apskr.","Tauragės r.","70-79",2121
"Klaipėdos apskr.","Klaipėdos r.","20-29",2919
"Utenos apskr.","Molėtų r.","40-49",911
"Šiaulių apskr.","Radviliškio r.","70-79",2004
"Vilniaus apskr.","Trakų r.","70-79",1482
"Marijampolės apskr.","Vilkaviškio r.","70-79",2035
