"administrative_level_2","administrative_level_3","age_gr","at_risk"
"Telšių apskr.","Plungės r.","70-79",1727
"Tauragės apskr.","Tauragės r.","40-49",1975
"Vilniaus apskr.","Šalčininkų r.","60-69",1408
"Klaipėdos apskr.","Neringos","60-69",219
"Klaipėdos apskr.","Skuodo r.","60-69",993
"Marijampolės apskr.","Vilkaviškio r.","70-79",1108
"Utenos apskr.","Visagino m.","30-39",415
"Šiaulių apskr.","Šiaulių r.","60-69",2675
"Kauno apskr.","Kauno r.","60-69",4633
"Tauragės apskr.","Pagėgių","40-49",340
"Klaipėdos apskr.","Palangos m.","60-69",1490
"Panevėžio apskr.","Panevėžio r.","50-59",2766
"Tauragės apskr.","Tauragės r.","80+",1648
"Alytaus apskr.","Alytaus r.","40-49",1188
"Panevėžio apskr.","Kupiškio r.","70-79",559
"Panevėžio apskr.","Panevėžio m.","20-29",4463
"Šiaulių apskr.","Radviliškio r.","20-29",1709
"Alytaus apskr.","Alytaus m.","20-29",2565
"Kauno apskr.","Kauno r.","20-29",5825
"Šiaulių apskr.","Kelmės r.","30-39",815
"Panevėžio apskr.","Pasvalio r.","40-49",1136
"Klaipėdos apskr.","Skuodo r.","60-69",1175
"Tauragės apskr.","Pagėgių","50-59",555
"Utenos apskr.","Visagino m.","50-59",1622
"Utenos apskr.","Zarasų r.","30-39",597
"Vilniaus apskr.","Švenčionių r.","70-79",773
"Šiaulių apskr.","Akmenės r.","60-69",1493
"Šiaulių apskr.","Joniškio r.","40-49",1110
"Šiaulių apskr.","Pakruojo r.","80+",829
"Alytaus apskr.","Varėnos r.","80+",1249
"Vilniaus apskr.","Vilniaus r.","80+",1018
"Šiaulių apskr.","Joniškio r.","60-69",1297
"Panevėžio apskr.","Panevėžio m.","50-59",5207
"Klaipėdos apskr.","Skuodo r.","70-79",1045
"Vilniaus apskr.","Trakų r.","40-49",1883
"Vilniaus apskr.","Trakų r.","80+",1231
"Utenos apskr.","Ignalinos r.","60-69",927
"Klaipėdos apskr.","Skuodo r.","70-79",637
"Utenos apskr.","Utenos r.","60-69",2982
"Vilniaus apskr.","Vilniaus m.","70-79",11786
"Vilniaus apskr.","Vilniaus r.","40-49",7406
"Utenos apskr.","Anykščių r.","40-49",1065
"Šiaulių apskr.","Joniškio r.","20-29",1282
"Kauno apskr.","Kauno m.","60-69",12521
"Telšių apskr.","Plungės r.","40-49",1631
"Utenos apskr.","Ignalinos r.","40-49",788
"Marijampolės apskr.","Kalvarijos","80+",142
"Vilniaus apskr.","Ukmergės r.","20-29",1905
"Alytaus apskr.","Varėnos r.","20-29",1267
"Vilniaus apskr.","Vilniaus r.","20-29",5511
"Utenos apskr.","Ignalinos r.","50-59",1075
"Kauno apskr.","Jonavos r.","40-49",2198
"Telšių apskr.","Rietavo","70-79",188
"Vilniaus apskr.","Širvintų r.","40-49",732
"Panevėžio apskr.","Kupiškio r.","20-29",1049
"Tauragės apskr.","Pagėgių","20-29",419
"Telšių apskr.","Rietavo","30-39",324
"Vilniaus apskr.","Ukmergės r.","40-49",1716
"Alytaus apskr.","Alytaus m.","30-39",1709
"Kauno apskr.","Birštono","30-39",134
"Utenos apskr.","Ignalinos r.","50-59",1128
"Kauno apskr.","Kaišiadorių r.","50-59",2153
"Alytaus apskr.","Alytaus r.","80+",553
"Alytaus apskr.","Lazdijų r.","20-29",1173
"Tauragės apskr.","Pagėgių","80+",312
"Telšių apskr.","Plungės r.","30-39",1170
"Telšių apskr.","Telšių r.","20-29",2386
"Utenos apskr.","Molėtų r.","60-69",1052
"Klaipėdos apskr.","Palangos m.","80+",751
"Klaipėdos apskr.","Palangos m.","50-59",1030
"Vilniaus apskr.","Švenčionių r.","30-39",1079
"Utenos apskr.","Molėtų r.","80+",360
"Klaipėdos apskr.","Palangos m.","80+",275
"Telšių apskr.","Plungės r.","80+",1405
"Kauno apskr.","Prienų r.","40-49",1400
"Utenos apskr.","Utenos r.","30-39",1304
"Vilniaus apskr.","Elektrėnų","30-39",1776
"Tauragės apskr.","Pagėgių","50-59",550
"Telšių apskr.","Telšių r.","30-39",1534
"Šiaulių apskr.","Šiaulių r.","20-29",2028
"Panevėžio apskr.","Kupiškio r.","40-49",844
"Panevėžio apskr.","Pasvalio r.","70-79",1407
"Vilniaus apskr.","Ukmergės r.","70-79",2226
"Šiaulių apskr.","Šiaulių m.","20-29",5254
"Marijampolės apskr.","Marijampolės","80+",2105
"Telšių apskr.","Rietavo","50-59",546
"Vilniaus apskr.","Vilniaus r.","60-69",5712
"Šiaulių apskr.","Šiaulių m.","60-69",6906
"Utenos apskr.","Molėtų r.","70-79",1063
"Klaipėdos apskr.","Skuodo r.","40-49",652
"Klaipėdos apskr.","Skuodo r.","40-49",652
"Marijampolės apskr.","Šakių r.","60-69",1817
"Alytaus apskr.","Alytaus m.","80+",720
"Klaipėdos apskr.","Kretingos r.","50-59",2579
"Tauragės apskr.","Pagėgių","80+",97
"Vilniaus apskr.","Širvintų r.","20-29",718
"Klaipėdos apskr.","Klaipėdos m.","20-29",6903
