"day","administrative_level_3","confirmed","confirmed_100k","confirmed_14","confirmed_14_100k","confirmed_male","confirmed_female","active","active_100k","recovered","deaths","population","downloaded","updated"
2020-05-24,"Skuodo r.",2,1.2,NA,NA,0,2,0,0,2,0,16078,2020-05-25 14:34:46,"2020-05-25 09:03:38"
2020-05-24,"Palangos m.",12,7.5,NA,NA,6,6,5,3.1,6,1,16046,2020-05-25 14:34:46,"2020-05-25 09:03:39"
2020-05-24,"Pagėgių",1,1.4,NA,NA,0,1,0,0,1,0,7288,2020-05-25 14:34:46,"2020-05-25 09:03:40"
2020-05-24,"Šalčininkų r.",10,3.3,NA,NA,4,6,3,1,7,0,30520,2020-05-25 14:34:46,"2020-05-25 09:03:40"
2020-05-24,"Vilniaus r.",242,24.2,NA,NA,86,156,81,8.1,156,3,100158,2020-05-25 14:34:46,"2020-05-25 09:03:41"
2020-05-24,"Švenčionių r.",10,4.4,NA,NA,6,4,3,1.3,7,0,22932,2020-05-25 14:34:46,"2020-05-25 09:03:42"
2020-05-24,"Zarasų r.",0,0,NA,NA,0,0,0,0,0,0,14916,2020-05-25 14:34:46,"2020-05-05 10:19:52"
2020-05-24,"Kėdainių r.",1,0.2,NA,NA,0,1,0,0,1,0,45285,2020-05-25 14:34:46,"2020-05-25 09:03:43"
2020-05-24,"Ukmergės r.",86,25.7,NA,NA,27,59,5,1.5,73,8,33471,2020-05-25 14:34:46,"2020-05-25 09:03:43"
2020-05-24,"Kelmės r.",2,0.8,NA,NA,1,1,0,0,2,0,25382,2020-05-25 14:34:46,"2020-05-25 09:03:44"
2020-05-24,"Širvintų r.",8,5.3,NA,NA,4,4,2,1.3,5,0,15076,2020-05-25 14:34:46,"2020-05-25 09:03:45"
2020-05-24,"Kalvarijos",4,3.9,NA,NA,2,2,2,2,2,0,10190,2020-05-25 14:34:46,"2020-05-25 09:03:45"
2020-05-24,"Kauno r.",21,2.2,NA,NA,14,7,2,0.2,19,0,96441,2020-05-25 14:34:46,"2020-05-25 09:03:46"
2020-05-24,"Šilutės r.",7,1.9,NA,NA,4,3,1,0.3,6,0,37637,2020-05-25 14:34:46,"2020-05-25 09:03:47"
2020-05-24,"Tauragės r.",9,2.4,NA,NA,5,4,2,0.5,7,0,37805,2020-05-25 14:34:46,"2020-05-25 09:03:47"
2020-05-24,"Lazdijų r.",4,2.2,NA,NA,1,3,2,1.1,2,0,18331,2020-05-25 14:34:46,"2020-05-25 09:03:48"
2020-05-24,"Jurbarko r.",2,0.8,NA,NA,1,1,0,0,2,0,24822,2020-05-25 14:34:46,"2020-05-25 09:03:49"
2020-05-24,"Elektrėnų",6,2.5,NA,NA,2,4,3,1.3,3,0,23992,2020-05-25 14:34:46,"2020-05-25 09:03:49"
2020-05-24,"Neringos",1,2.8,NA,NA,1,0,1,2.8,0,0,3530,2020-05-25 14:34:46,"2020-05-25 09:03:50"
2020-05-24,"Mažeikių r.",7,1.4,NA,NA,4,3,1,0.2,5,1,51067,2020-05-25 14:34:46,"2020-05-25 09:03:51"
2020-05-24,"Ignalinos r.",3,2.1,NA,NA,1,2,1,0.7,2,0,14433,2020-05-25 14:34:46,"2020-05-25 09:03:51"
2020-05-24,"Telšių r.",10,2.5,NA,NA,5,5,0,0,8,2,39317,2020-05-25 14:34:46,"2020-05-25 09:03:52"
2020-05-24,"Plungės r.",7,2.1,NA,NA,4,3,0,0,7,0,32987,2020-05-25 14:34:46,"2020-05-25 09:03:52"
2020-05-24,"Kretingos r.",59,15.8,NA,NA,22,37,27,7.2,30,2,37427,2020-05-25 14:34:46,"2020-05-25 09:03:53"
2020-05-24,"Varėnos r.",1,0.5,NA,NA,1,0,0,0,0,1,20840,2020-05-25 14:34:46,"2020-05-25 09:03:54"
2020-05-24,"Alytaus r.",7,2.7,NA,NA,4,3,0,0,7,0,25887,2020-05-25 14:34:46,"2020-05-25 09:03:54"
2020-05-24,"Raseinių r.",6,1.9,NA,NA,1,5,0,0,5,1,31225,2020-05-25 14:34:46,"2020-05-25 09:03:55"
2020-05-24,"Vilniaus m.",419,7.5,NA,NA,182,237,163,2.9,242,10,562030,2020-05-25 14:34:46,"2020-05-25 09:03:56"
2020-05-24,"Šilalės r.",3,1.4,NA,NA,2,1,0,0,3,0,21887,2020-05-25 14:34:46,"2020-05-25 09:03:57"
2020-05-24,"Klaipėdos m.",273,18.3,NA,NA,90,183,80,5.4,177,16,149157,2020-05-25 14:34:46,"2020-05-25 09:03:57"
2020-05-24,"Visagino",3,1.6,NA,NA,1,2,0,0,3,0,18250,2020-05-25 14:34:46,"2020-05-25 09:03:58"
2020-05-24,"Pasvalio r.",4,1.8,NA,NA,3,1,1,0.4,3,0,22816,2020-05-25 14:34:46,"2020-05-25 09:03:59"
2020-05-24,"Panevėžio m.",21,2.4,NA,NA,13,8,2,0.2,18,1,85878,2020-05-25 14:34:46,"2020-05-25 09:03:59"
2020-05-24,"Šiaulių m.",14,1.4,NA,NA,9,5,2,0.2,11,1,101514,2020-05-25 14:34:46,"2020-05-25 09:04:00"
2020-05-24,"Birštono",0,0,NA,NA,0,0,0,0,0,0,4069,2020-05-25 14:34:46,"2020-05-05 10:19:52"
2020-05-24,"Pakruojo r.",0,0,NA,NA,0,0,0,0,0,0,18606,2020-05-25 14:34:46,"2020-05-05 10:19:52"
2020-05-25,"Kita",1,0,NA,NA,1,0,1,0,0,0,0,2020-05-26 11:01:39,"2020-05-25 09:05:36"
2020-05-25,"Utenos r.",4,1.1,NA,NA,1,3,0,0,4,0,37179,2020-05-26 11:01:39,"2020-05-25 09:03:25"
2020-05-25,"Kaišiadorių r.",3,1,NA,NA,1,2,0,0,3,0,29526,2020-05-26 11:01:39,"2020-05-25 09:03:25"
2020-05-25,"Vilkaviškio r.",7,2,NA,NA,4,3,0,0,6,1,34660,2020-05-26 11:01:39,"2020-05-25 09:03:26"
2020-05-25,"Prienų r.",5,1.9,NA,NA,3,2,0,0,5,0,25802,2020-05-26 11:01:39,"2020-05-25 09:03:26"
2020-05-25,"Jonavos r.",9,2.2,NA,NA,1,8,0,0,9,0,41163,2020-05-26 11:01:39,"2020-05-25 09:03:27"
2020-05-25,"Rietavo",6,8.3,NA,NA,4,2,0,0,6,0,7258,2020-05-26 11:01:39,"2020-05-25 09:03:27"
