"day","administrative_level_3","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-79","80+","Nenustatyta","Total"
2020-02-07,"Prienų r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-07,"Radviliškio r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-07,"Raseinių r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-07,"Rietavo",0,0,0,0,0,0,0,0,0,0,0
2020-02-07,"Skuodo r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-07,"Telšių r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-07,"Ukmergės r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-07,"Utenos r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-07,"Vilniaus m.",0,0,0,0,0,0,0,0,0,0,0
2020-02-07,"Vilniaus r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-07,"Visagino m.",0,0,0,0,0,0,0,0,0,0,0
2020-02-07,"Total",0,0,0,0,0,0,0,0,0,0,0
2020-02-07,"Zarasų r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-07,"Šakių r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-07,"Šalčininkų r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-07,"Šiaulių m.",0,0,0,0,0,0,0,0,0,0,0
2020-02-07,"Širvintų r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-07,"Švenčionių r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-08,"",0,0,0,0,0,0,0,0,0,0,0
2020-02-08,"Akmenės r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-08,"Alytaus m.",0,0,0,0,0,0,0,0,0,0,0
2020-02-08,"Anykščių r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-08,"Biržų r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-08,"Elektrėnų",0,0,0,0,0,0,0,0,0,0,0
2020-02-08,"Joniškio r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-08,"Jurbarko r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-08,"Kaišiadorių r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-08,"Kauno m.",0,0,0,0,0,0,0,0,0,0,0
2020-02-08,"Kauno r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-08,"Kazlų Rūdos",0,0,0,0,0,0,0,0,0,0,0
2020-02-08,"Klaipėdos m.",0,0,0,0,0,0,0,0,0,0,0
2020-02-08,"Klaipėdos r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-08,"Kretingos r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-08,"Kupiškio r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-08,"Kėdainių r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-08,"Lazdijų r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-08,"Molėtų r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-08,"Pagėgių",0,0,0,0,0,0,0,0,0,0,0
2020-02-08,"Pakruojo r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-08,"Palangos m.",0,0,0,0,0,0,0,0,0,0,0
2020-02-08,"Panevėžio m.",0,0,0,0,0,0,0,0,0,0,0
2020-02-08,"Panevėžio r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-08,"Pasvalio r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-08,"Plungės r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-08,"Raseinių r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-08,"Rietavo",0,0,0,0,0,0,0,0,0,0,0
2020-02-08,"Rokiškio r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-08,"Telšių r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-08,"Trakų r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-08,"Ukmergės r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-08,"Utenos r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-08,"Vilkaviškio r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-08,"Vilniaus m.",0,0,0,0,0,0,0,0,0,0,0
2020-02-08,"Vilniaus r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-08,"Visagino m.",0,0,0,0,0,0,0,0,0,0,0
2020-02-08,"Total",0,0,0,0,0,0,0,0,0,0,0
2020-02-08,"Šakių r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-08,"Šalčininkų r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-08,"Šiaulių m.",0,0,0,0,0,0,0,0,0,0,0
2020-02-08,"Šiaulių r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-08,"Šilutės r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-09,"",0,0,0,0,0,0,0,0,0,0,0
2020-02-09,"Alytaus m.",0,0,0,0,0,0,0,0,0,0,0
2020-02-09,"Alytaus r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-09,"Anykščių r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-09,"Biržų r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-09,"Druskininkų",0,0,0,0,0,0,0,0,0,0,0
2020-02-09,"Elektrėnų",0,0,0,0,0,0,0,0,0,0,0
2020-02-09,"Ignalinos r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-09,"Joniškio r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-09,"Jurbarko r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-09,"Kauno m.",0,0,0,0,0,0,0,0,0,0,0
2020-02-09,"Kauno r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-09,"Kazlų Rūdos",0,0,0,0,0,0,0,0,0,0,0
2020-02-09,"Kelmės r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-09,"Klaipėdos m.",0,0,0,0,0,0,0,0,0,0,0
2020-02-09,"Klaipėdos r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-09,"Kretingos r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-09,"Kėdainių r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-09,"Lazdijų r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-09,"Marijampolės",0,0,0,0,0,0,0,0,0,0,0
2020-02-09,"Mažeikių r.",0,0,0,0,0,0,0,0,0,0,0
2020-02-09,"Molėtų r.",0,0,0,0,0,0,0,0,0,0,0
