"lab_name","day","test_type","tests_positive","gmp_indication","tests"
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-19,"1477",0,"simptomai",15
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-19,"1477",0,"kontaktai",2
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-19,"1477",0,"profilaktika",779
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-19,"1477",0,"kiti",144
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-20,"1477",0,"kiti",113
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-20,"1477",0,"kontaktai",2
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-20,"1477",0,"simptomai",10
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-20,"1477",0,"profilaktika",555
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-21,"1477",0,"simptomai",7
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-21,"1477",2,"profilaktika",200
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-21,"1477",0,"kiti",221
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-22,"1477",0,"simptomai",7
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-22,"1477",0,"kiti",167
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-22,"1477",0,"profilaktika",317
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-22,"1477",0,"kontaktai",1
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-23,"1477",0,"simptomai",8
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-23,"1477",1,"profilaktika",642
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-23,"1477",0,"kiti",139
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-24,"1477",0,"kontaktai",2
"Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos",2020-06-24,"1477",0,"profilaktika",533
