"day","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
2020-05-12,1.30044216291039,0.18451340010204,0.988146048196967,1.03024198746477,1.17151645717697,1.2838586237343,1.41022027296516,1.6256623589043,1.71003695775441
2020-05-13,1.30895708738026,0.197313426525944,0.97533427525419,1.01896446437167,1.16997436775794,1.29182218972059,1.42748922895405,1.6572449482479,1.74573177255311
2020-05-14,1.25790598066225,0.189695314337989,0.93609067419702,0.97751785855325,1.12235923429049,1.24133435614552,1.37547137040936,1.59404351384821,1.67336623648937
2020-05-15,1.01440754549894,0.151523098156168,0.75488885185645,0.788938863071467,0.906177309792461,1.00140262136901,1.10977114825023,1.28366280799032,1.34398622347803
2020-05-16,0.955375645267845,0.123790298827763,0.735739613467644,0.766441558036519,0.868661850692047,0.947325772096343,1.03307020560271,1.17212186500766,1.22116145554131
2020-05-17,0.923810502175426,0.112740527223234,0.717372883102566,0.747563058459313,0.845364347216782,0.918712081891106,0.996917362466896,1.11718140647915,1.15885788371419
2020-05-18,0.914895205552147,0.111850622364116,0.708878757387789,0.738912706059192,0.83718442385363,0.910424096828276,0.987516207040243,1.10637941082989,1.14736199993569
2020-05-19,1.01644182398975,0.121078206639603,0.793280262855135,0.826072603830256,0.932432666790648,1.0114730352164,1.09513143318509,1.22374587911725,1.26750197330702
2020-05-20,1.05673171151833,0.120417751672447,0.833507385967684,0.86635360025233,0.97341547713993,1.05248697004275,1.13538104635057,1.26175706256277,1.30478038811946
2020-05-21,1.00299465464116,0.115539724796988,0.789143598773314,0.820919971456043,0.922899630214294,0.9985113807936,1.07828964478521,1.20010141941731,1.24219613231177
2020-05-22,0.994893014211998,0.114045340768576,0.784316916974644,0.815211274926318,0.915652745930321,0.990596249624816,1.06920805545725,1.1895674831223,1.2310991496816
2020-05-23,0.960027049104583,0.111833924429946,0.753555405034869,0.784016091387236,0.882307829248437,0.955690906230194,1.03287547410057,1.15111194703224,1.19136901942394
