"educational_institution","confirmed_students","confirmed_all","first_case","last_case","NA"
"Jono Pauliaus II gimnazija (Kauno m.)","4","","54","2020-09-07","2020-09-23"
"Martyno Mažvydo progimnazija (Vilniaus m.)","13","4","261","2020-09-07","2020-10-17"
"Vilniaus privati gimnazija","1","","16","2020-09-06","-"
"Šiaulių Dainų progimnazija","4","","27","2020-09-05","2020-10-14"
"Šiaulių Romuvos progimnazija","2","","29","2020-09-05","2020-09-13"
"Raseinių „Šaltinio“ progimnazija","12","3","54","2020-09-04","2020-10-16"
"Lopšelis-darželis „Varpelis“ (Vilniaus m.)","1","","5","2020-09-03","-"
"„Saulėtekio“ vidurinė mokykla (Vilniaus m.)","1","","0","2020-09-02","-"
"Vilniaus Lietuvių namų mokykla (Vilniaus m.)","2","","57","2020-09-01","2020-09-28"
"Alytaus Dzūkijos mokykla","1","","2","2020-09-01",""
"Antakalnio progimnazija","2","","0","2020-09-01","2020-10-05"
"Vilniaus šv. Kristoforo gimnazija","1","1","51","2020-09-07","2020-09-23"
"Lopšelis-darželis „Saulutė“ (Raseiniai)","","6","17","2020-09-05","2020-10-02"
"Stakliškių gimnazija (Prienų r.)","1","1","0","2020-09-05","2020-10-11"
"IŠ VISO","370","222","3817","",""
