"date","municipality_code","incidence","incidence_rollmean7","incidence_rollmean7_ago7d","incidence_absolute_diff","incidence_acceleration_proc","cumulative_totals","active_de_jure","active_sttstcl","dead_cases","dead_cases_today","recovered_de_jure","recovered_sttstcl","recovered_de_jure_today","recovered_sttstcl_today","municipality_name","positivity_acceleration_proc","composite_acceleration_proc"
2020-03-23,"13",11,10.4,NA,NA,NA,45,45,45,0,0,0,0,0,0,"Vilniaus m. sav.",NA,NA
2020-03-23,"15",0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,"Druskininkų sav.",NA,NA
2020-03-23,"18",0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,"Marijampolės sav.",NA,NA
2020-03-23,"19",2,2.7,NA,NA,NA,12,12,12,0,0,0,0,0,0,"Kauno m. sav.",NA,NA
2020-03-23,"21",10,4.6,NA,NA,NA,15,15,15,0,0,0,0,0,0,"Klaipėdos m. sav.",NA,NA
2020-03-23,"23",0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,"Neringos sav.",NA,NA
2020-03-23,"25",0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,"Palangos m. sav.",NA,NA
2020-03-23,"27",1,0.3,NA,NA,NA,1,1,1,0,0,0,0,0,0,"Panevėžio m. sav.",NA,NA
2020-03-23,"29",0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,"Šiaulių m. sav.",NA,NA
2020-03-23,"30",0,0.1,NA,NA,NA,0,0,0,0,0,0,0,0,0,"Visagino sav.",NA,NA
2020-03-23,"32",0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,"Akmenės r. sav.",NA,NA
2020-03-23,"33",0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,"Alytaus r. sav.",NA,NA
2020-03-23,"34",0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,"Anykščių r. sav.",NA,NA
2020-03-23,"36",0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,"Biržų r. sav.",NA,NA
2020-03-23,"38",0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,"Varėnos r. sav.",NA,NA
2020-03-23,"39",0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,"Vilkaviškio r. sav.",NA,NA
2020-03-23,"41",0,0.3,NA,NA,NA,0,0,0,0,0,0,0,0,0,"Vilniaus r. sav.",NA,NA
2020-03-23,"42",0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,"Elektrėnų sav.",NA,NA
2020-03-23,"43",0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,"Zarasų r. sav.",NA,NA
2020-03-23,"45",0,0.3,NA,NA,NA,2,2,2,0,0,0,0,0,0,"Ignalinos r. sav.",NA,NA
2020-03-23,"46",0,0.1,NA,NA,NA,0,0,0,0,0,0,0,0,0,"Jonavos r. sav.",NA,NA
2020-03-23,"47",0,0.1,NA,NA,NA,0,0,0,0,0,0,0,0,0,"Joniškio r. sav.",NA,NA
2020-03-23,"48",0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,"Kalvarijos sav.",NA,NA
2020-03-23,"49",0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,"Kaišiadorių r. sav.",NA,NA
2020-03-23,"52",0,0.1,NA,NA,NA,1,1,1,0,0,0,0,0,0,"Kauno r. sav.",NA,NA
2020-03-23,"53",0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,"Kėdainių r. sav.",NA,NA
2020-03-23,"54",0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,"Kelmės r. sav.",NA,NA
2020-03-23,"55",0,0.4,NA,NA,NA,0,0,0,0,0,0,0,0,0,"Klaipėdos r. sav.",NA,NA
2020-03-23,"56",0,0.3,NA,NA,NA,0,0,0,0,0,0,0,0,0,"Kretingos r. sav.",NA,NA
2020-03-23,"57",0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,"Kupiškio r. sav.",NA,NA
2020-03-23,"58",0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,"Kazlų Rūdos sav.",NA,NA
2020-03-23,"59",0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,"Lazdijų r. sav.",NA,NA
2020-03-23,"61",0,0.1,NA,NA,NA,0,0,0,0,0,0,0,0,0,"Mažeikių r. sav.",NA,NA
2020-03-23,"62",0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,"Molėtų r. sav.",NA,NA
2020-03-23,"63",0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,"Pagėgių sav.",NA,NA
2020-03-23,"65",0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,"Pakruojo r. sav.",NA,NA
