"evrk_section_code","evrk_section_title","evrk_chapter_code","evrk_chapter_title","evrk_group_code","evrk_group_title","evrk_class_code","evrk_class_title","evrk_subclass_code","evrk_subclass_title"
"C","Apdirbamoji gamyba","23","Kitų nemetalo mineralinių produktų gamyba","236","Betono, cemento ir gipso gaminių bei dirbinių gamyba","2364","Statybinių skiedinių gamyba","236400","Statybinių skiedinių gamyba"
"C","Apdirbamoji gamyba","23","Kitų nemetalo mineralinių produktų gamyba","239","Abrazyvinių gaminių ir niekur kitur nepriskirtų nemetalo mineralinių produktų gamyba","2399","Kitų, niekur kitur nepriskirtų, nemetalo mineralinių produktų gamyba","239910","Asbestinio pluošto, verpalų ir audinių bei gaminių iš jų gamyba"
"C","Apdirbamoji gamyba","23","Kitų nemetalo mineralinių produktų gamyba","239","Abrazyvinių gaminių ir niekur kitur nepriskirtų nemetalo mineralinių produktų gamyba","2399","Kitų, niekur kitur nepriskirtų, nemetalo mineralinių produktų gamyba","239930","Mineralinių izoliacinių medžiagų gamyba"
"C","Apdirbamoji gamyba","24","Pagrindinių metalų gamyba","242","Plieninių vamzdžių, vamzdelių, tuščiavidurių profilių ir susijusių jungiamųjų detalių gamyba","2420","Plieninių vamzdžių, vamzdelių, tuščiavidurių profilių ir susijusių jungiamųjų detalių gamyba","242000","Plieninių vamzdžių, vamzdelių, tuščiavidurių profilių ir susijusių jungiamųjų detalių gamyba"
"C","Apdirbamoji gamyba","24","Pagrindinių metalų gamyba","243","Kitų plieno pirminio apdirbimo gaminių gamyba","2430","Kitų plieno pirminio apdirbimo gaminių gamyba","243000","Kitų plieno pirminio apdirbimo gaminių gamyba"
"C","Apdirbamoji gamyba","24","Pagrindinių metalų gamyba","243","Kitų plieno pirminio apdirbimo gaminių gamyba","2433","Šaltasis formavimas ar lankstymas","243300","Šaltasis formavimas ar lankstymas"
"C","Apdirbamoji gamyba","24","Pagrindinių metalų gamyba","243","Kitų plieno pirminio apdirbimo gaminių gamyba","2434","Šaltasis vielos tempimas","243400","Šaltasis vielos tempimas"
"C","Apdirbamoji gamyba","24","Pagrindinių metalų gamyba","244","Pagrindinių tauriųjų ir kitų spalvotųjų metalų gamyba","2445","Kitų spalvotųjų metalų gamyba","244500","Kitų spalvotųjų metalų gamyba"
"C","Apdirbamoji gamyba","24","Pagrindinių metalų gamyba","244","Pagrindinių tauriųjų ir kitų spalvotųjų metalų gamyba","2446","Branduolinio kuro perdirbimas","244600","Branduolinio kuro perdirbimas"
"C","Apdirbamoji gamyba","24","Pagrindinių metalų gamyba","245","Metalų liejinių gamyba","2451","Geležies liejinių gamyba","245100","Geležies liejinių gamyba"
"C","Apdirbamoji gamyba","25","Metalo gaminių, išskyrus mašinas ir įrenginius, gamyba","250","Metalo gaminių, išskyrus mašinas ir įrenginius, gamyba","2500","Metalo gaminių, išskyrus mašinas ir įrenginius, gamyba","250000","Metalo gaminių, išskyrus mašinas ir įrenginius, gamyba"
"C","Apdirbamoji gamyba","25","Metalo gaminių, išskyrus mašinas ir įrenginius, gamyba","251","Konstrukcinių metalo gaminių gamyba","2511","Metalo konstrukcijų ir jų dalių gamyba","251100","Metalo konstrukcijų ir jų dalių gamyba"
"C","Apdirbamoji gamyba","25","Metalo gaminių, išskyrus mašinas ir įrenginius, gamyba","252","Metalinių cisternų, rezervuarų ir talpyklų gamyba","2529","Kitų metalinių cisternų, rezervuarų ir talpyklų gamyba","252910","Metalinių talpyklų suslėgtosioms ar suskystintosioms dujoms gamyba"
"C","Apdirbamoji gamyba","25","Metalo gaminių, išskyrus mašinas ir įrenginius, gamyba","253","Garo generatorių, išskyrus centrinio šildymo karšto vandens katilus, gamyba","2530","Garo generatorių, išskyrus centrinio šildymo karšto vandens katilus, gamyba","253000","Garo generatorių, išskyrus centrinio šildymo karšto vandens katilus, gamyba"
"C","Apdirbamoji gamyba","25","Metalo gaminių, išskyrus mašinas ir įrenginius, gamyba","255","Metalo kalimas, presavimas, štampavimas ir profiliavimas; miltelių metalurgija","2550","Metalo kalimas, presavimas, štampavimas ir profiliavimas; miltelių metalurgija","255000","Metalo kalimas, presavimas, štampavimas ir profiliavimas; miltelių metalurgija"
"C","Apdirbamoji gamyba","25","Metalo gaminių, išskyrus mašinas ir įrenginius, gamyba","259","Kitų metalo gaminių gamyba","2593","Vielos gaminių, grandinių ir spyruoklių gamyba","259300","Vielos gaminių, grandinių ir spyruoklių gamyba"
"C","Apdirbamoji gamyba","25","Metalo gaminių, išskyrus mašinas ir įrenginius, gamyba","259","Kitų metalo gaminių gamyba","2594","Tvirtinimo detalių ir sriegimo mašinų gaminių gamyba","259400","Tvirtinimo detalių ir sriegimo mašinų gaminių gamyba"
"C","Apdirbamoji gamyba","25","Metalo gaminių, išskyrus mašinas ir įrenginius, gamyba","259","Kitų metalo gaminių gamyba","2599","Kitų, niekur kitur nepriskirtų, metalo gaminių gamyba","259900","Kitų, niekur kitur nepriskirtų, metalo gaminių gamyba"
"C","Apdirbamoji gamyba","26","Kompiuterinių, elektroninių ir optinių gaminių gamyba","261","Elektroninių komponentų ir plokščių gamyba","2612","Sumontuotų elektroninių plokščių gamyba","261200","Sumontuotų elektroninių plokščių gamyba"
"C","Apdirbamoji gamyba","26","Kompiuterinių, elektroninių ir optinių gaminių gamyba","265","Matavimo, bandymo, navigacinės ir kontrolės įrangos gamyba; įvairių tipų laikrodžių gamyba","2651","Matavimo, bandymo, navigacinės ir kontrolės įrangos prietaisų ir aparatų gamyba","265140","Automatinio reguliavimo ir kontrolės prietaisų gamyba"
"C","Apdirbamoji gamyba","26","Kompiuterinių, elektroninių ir optinių gaminių gamyba","265","Matavimo, bandymo, navigacinės ir kontrolės įrangos gamyba; įvairių tipų laikrodžių gamyba","2652","Įvairių tipų laikrodžių gamyba","265200","Įvairių tipų laikrodžių gamyba"
"C","Apdirbamoji gamyba","27","Elektros įrangos gamyba","271","Elektros variklių, generatorių, transformatorių bei elektros skirstomosios ir valdymo įrangos gamyba","2711","Elektros variklių, generatorių ir transformatorių gamyba","271100","Elektros variklių, generatorių ir transformatorių gamyba"
"C","Apdirbamoji gamyba","27","Elektros įrangos gamyba","275","Buitinių aparatų ir prietaisų gamyba","2751","Buitinių elektrinių aparatų ir prietaisų gamyba","275100","Buitinių elektrinių aparatų ir prietaisų gamyba"
"C","Apdirbamoji gamyba","28","Niekur kitur nepriskirtų mašinų ir įrangos gamyba","281","Bendrosios paskirties mašinų gamyba","2813","Kitų siurblių ir kompresorių gamyba","281300","Kitų siurblių ir kompresorių gamyba"
"C","Apdirbamoji gamyba","28","Niekur kitur nepriskirtų mašinų ir įrangos gamyba","282","Kitų bendrosios paskirties mašinų ir įrangos gamyba","2823","Įstaigos mašinų ir įrangos (išskyrus kompiuterius ir išorinę įrangą) gamyba","282300","Įstaigos mašinų ir įrangos (išskyrus kompiuterius ir išorinę įrangą) gamyba"
