"ab_neg_day","ab_pos_day","ab_prc_day","ab_tot_day","ag_neg_day","ag_pos_day","ag_prc_day","ag_tot_day","date","dgn_neg_day","dgn_pos_day","dgn_prc_day","dgn_tot_day","dgn_tot_day_gmp","municipality_code","pcr_neg_day","pcr_pos_day","pcr_prc_day","pcr_tot_day","daily_deaths_def1","daily_deaths_def2","daily_deaths_def3","daily_deaths_all","incidence","cumulative_totals","active_de_jure","active_sttstcl","dead_cases","recovered_de_jure","recovered_sttstcl","municipality_name","population","map_colors"
0,0,0,0,0,0,0,0,"2020-03-20",0,0,0,0,0,"91",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Šiaulių r. sav.",41551,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-20",0,0,0,0,0,"94",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Jurbarko r. sav.",24235,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",306,25,7.6,331,0,"00",306,25,7.6,331,0,0,0,98,25,32,32,32,0,0,0,"Lietuva",2795175,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",1,0,0,1,0,"11",1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,"Alytaus m. sav.",49195,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",0,0,0,0,0,"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Birštono sav.",4035,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",149,14,8.6,163,0,"13",149,14,8.6,163,0,0,0,14,14,17,17,17,0,0,0,"Vilniaus m. sav.",569729,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",1,0,0,1,0,"15",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Druskininkų sav.",19011,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",0,0,0,0,0,"18",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Marijampolės sav.",53472,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",47,3,6,50,0,"19",47,3,6,50,0,0,0,10,3,6,6,6,0,0,0,"Kauno m. sav.",293257,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",40,4,9.1,44,0,"21",40,4,9.1,44,0,0,0,6,4,4,4,4,0,0,0,"Klaipėdos m. sav.",149046,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",0,0,0,0,0,"23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Neringos sav.",3639,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",3,0,0,3,0,"25",3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"Palangos m. sav.",16421,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",1,0,0,1,0,"27",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,"Panevėžio m. sav.",84587,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",1,0,0,1,0,"29",1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,"Šiaulių m. sav.",101862,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",1,0,0,1,0,"30",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,"Visagino sav.",18121,"Juoda D"
0,0,0,0,0,0,0,0,"2020-03-21",0,0,0,0,0,"32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Akmenės r. sav.",18523,"Juoda D"
