"date","municipality_name","municipality_code","municipality_order","vaccination_state","all_day","a_gr0_15_day","a_gr16_24_day","a_gr25_34_day","a_gr35_44_day","a_gr45_54_day","a_gr55_64_day","a_gr65_69_day","a_gr70_74_day","a_gr75_79_day","a_gr80_plus_day","all_cum","object_id"
2020-12-01,"Kupiškio r. sav.","57","26","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,26859
2020-12-01,"Kupiškio r. sav.","57","26","Visi",0,0,0,0,0,0,0,0,0,0,0,0,1661
2020-12-01,"Kazlų Rūdos sav.","58","21","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,25353
2020-12-01,"Kazlų Rūdos sav.","58","21","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,28735
2020-12-01,"Kazlų Rūdos sav.","58","21","Visi",0,0,0,0,0,0,0,0,0,0,0,0,31137
2020-12-01,"Lazdijų r. sav.","59","27","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,26066
2020-12-01,"Lazdijų r. sav.","59","27","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,5713
2020-12-01,"Lazdijų r. sav.","59","27","Visi",0,0,0,0,0,0,0,0,0,0,0,0,7976
2020-12-01,"Mažeikių r. sav.","61","29","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,5559
2020-12-01,"Mažeikių r. sav.","61","29","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,6056
2020-12-01,"Mažeikių r. sav.","61","29","Visi",0,0,0,0,0,0,0,0,0,0,0,0,18087
2020-12-01,"Molėtų r. sav.","62","30","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,11204
2020-12-01,"Molėtų r. sav.","62","30","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,5820
2020-12-01,"Molėtų r. sav.","62","30","Visi",0,0,0,0,0,0,0,0,0,0,0,0,16547
2020-12-01,"Pagėgių sav.","63","32","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,10414
2020-12-01,"Pagėgių sav.","63","32","Visi",0,0,0,0,0,0,0,0,0,0,0,0,16401
2020-12-01,"Pagėgių sav.","63","32","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,20835
2020-12-01,"Pakruojo r. sav.","65","33","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,11208
2020-12-01,"Pakruojo r. sav.","65","33","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,13116
2020-12-01,"Pakruojo r. sav.","65","33","Visi",0,0,0,0,0,0,0,0,0,0,0,0,16682
2020-12-01,"Panevėžio r. sav.","66","35","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,18462
2020-12-01,"Panevėžio r. sav.","66","35","Visi",0,0,0,0,0,0,0,0,0,0,0,0,14556
2020-12-01,"Panevėžio r. sav.","66","35","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,7230
2020-12-01,"Pasvalio r. sav.","67","36","Visi",0,0,0,0,0,0,0,0,0,0,0,0,52
2020-12-01,"Pasvalio r. sav.","67","36","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,2946
2020-12-01,"Pasvalio r. sav.","67","36","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,12574
2020-12-01,"Plungės r. sav.","68","37","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,6630
2020-12-01,"Plungės r. sav.","68","37","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,29612
2020-12-01,"Plungės r. sav.","68","37","Visi",0,0,0,0,0,0,0,0,0,0,0,0,24181
2020-12-01,"Prienų r. sav.","69","38","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,14265
2020-12-01,"Prienų r. sav.","69","38","Visi",0,0,0,0,0,0,0,0,0,0,0,0,17743
2020-12-01,"Prienų r. sav.","69","38","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,25366
2020-12-01,"Radviliškio r. sav.","71","39","Visi",0,0,0,0,0,0,0,0,0,0,0,0,8834
2020-12-01,"Radviliškio r. sav.","71","39","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,26310
2020-12-01,"Radviliškio r. sav.","71","39","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,31103
2020-12-01,"Raseinių r. sav.","72","40","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,4537
2020-12-01,"Raseinių r. sav.","72","40","Visi",0,0,0,0,0,0,0,0,0,0,0,0,8124
2020-12-01,"Raseinių r. sav.","72","40","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,18592
2020-12-01,"Rokiškio r. sav.","73","42","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,11392
2020-12-01,"Rokiškio r. sav.","73","42","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,13139
2020-12-01,"Rokiškio r. sav.","73","42","Visi",0,0,0,0,0,0,0,0,0,0,0,0,1433
2020-12-01,"Rietavo sav.","74","41","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,26057
2020-12-01,"Rietavo sav.","74","41","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,29458
2020-12-01,"Rietavo sav.","74","41","Visi",0,0,0,0,0,0,0,0,0,0,0,0,17827
2020-12-01,"Skuodo r. sav.","75","43","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,25372
2020-12-01,"Skuodo r. sav.","75","43","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,28996
2020-12-01,"Skuodo r. sav.","75","43","Visi",0,0,0,0,0,0,0,0,0,0,0,0,8769
2020-12-01,"Tauragės r. sav.","77","51","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,10445
2020-12-01,"Tauragės r. sav.","77","51","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,19887
2020-12-01,"Tauragės r. sav.","77","51","Visi",0,0,0,0,0,0,0,0,0,0,0,0,17099
2020-12-01,"Telšių r. sav.","78","52","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,5440
2020-12-01,"Telšių r. sav.","78","52","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,10575
2020-12-01,"Telšių r. sav.","78","52","Visi",0,0,0,0,0,0,0,0,0,0,0,0,15896
2020-12-01,"Trakų r. sav.","79","53","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,11000
2020-12-01,"Trakų r. sav.","79","53","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,5142
2020-12-01,"Trakų r. sav.","79","53","Visi",0,0,0,0,0,0,0,0,0,0,0,0,23555
2020-12-01,"Ukmergės r. sav.","81","54","Visi",0,0,0,0,0,0,0,0,0,0,0,0,14828
2020-12-01,"Ukmergės r. sav.","81","54","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,11746
2020-12-01,"Ukmergės r. sav.","81","54","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,28815
2020-12-01,"Utenos r. sav.","82","55","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,28751
2020-12-01,"Utenos r. sav.","82","55","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,11802
2020-12-01,"Utenos r. sav.","82","55","Visi",0,0,0,0,0,0,0,0,0,0,0,0,14853
2020-12-01,"Šakių r. sav.","84","44","Visi",0,0,0,0,0,0,0,0,0,0,0,0,1424
2020-12-01,"Šakių r. sav.","84","44","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,3959
2020-12-01,"Šakių r. sav.","84","44","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,20503
2020-12-01,"Šalčininkų r. sav.","85","45","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,10250
2020-12-01,"Šalčininkų r. sav.","85","45","Visi",0,0,0,0,0,0,0,0,0,0,0,0,8848
2020-12-01,"Šalčininkų r. sav.","85","45","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,27693
2020-12-01,"Švenčionių r. sav.","86","50","Visi",0,0,0,0,0,0,0,0,0,0,0,0,1365
2020-12-01,"Švenčionių r. sav.","86","50","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,19620
2020-12-01,"Švenčionių r. sav.","86","50","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,28003
2020-12-01,"Šilalės r. sav.","87","47","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,19580
2020-12-01,"Šilalės r. sav.","87","47","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,23036
2020-12-01,"Šilalės r. sav.","87","47","Visi",0,0,0,0,0,0,0,0,0,0,0,0,63
2020-12-01,"Šilutės r. sav.","88","48","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,5550
2020-12-01,"Šilutės r. sav.","88","48","Visi",0,0,0,0,0,0,0,0,0,0,0,0,8745
2020-12-01,"Šilutės r. sav.","88","48","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,3922
2020-12-01,"Širvintų r. sav.","89","49","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,12162
2020-12-01,"Širvintų r. sav.","89","49","Visi",0,0,0,0,0,0,0,0,0,0,0,0,30517
2020-12-01,"Širvintų r. sav.","89","49","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,18615
2020-12-01,"Šiaulių r. sav.","91","46","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,12544
2020-12-01,"Šiaulių r. sav.","91","46","Visi",0,0,0,0,0,0,0,0,0,0,0,0,14780
2020-12-01,"Šiaulių r. sav.","91","46","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,3989
2020-12-01,"Jurbarko r. sav.","94","17","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,26882
2020-12-01,"Jurbarko r. sav.","94","17","Visi",0,0,0,0,0,0,0,0,0,0,0,0,2119
2020-12-01,"Jurbarko r. sav.","94","17","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,14033
2020-12-02,"Lietuva","00","00","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,6060
2020-12-02,"Lietuva","00","00","Visi",0,0,0,0,0,0,0,0,0,0,0,0,7833
2020-12-02,"Lietuva","00","00","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,20759
2020-12-02,"Alytaus m. sav.","11","06","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,20939
2020-12-02,"Alytaus m. sav.","11","06","Visi",0,0,0,0,0,0,0,0,0,0,0,0,23757
2020-12-02,"Alytaus m. sav.","11","06","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,2629
2020-12-02,"Birštono sav.","12","10","Visi",0,0,0,0,0,0,0,0,0,0,0,0,9084
2020-12-02,"Birštono sav.","12","10","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,6232
2020-12-02,"Birštono sav.","12","10","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,29996
2020-12-02,"Vilniaus m. sav.","13","01","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,9747
2020-12-02,"Vilniaus m. sav.","13","01","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,28785
2020-12-02,"Vilniaus m. sav.","13","01","Visi",0,0,0,0,0,0,0,0,0,0,0,0,16999
2020-12-02,"Druskininkų sav.","15","12","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,13125
2020-12-02,"Druskininkų sav.","15","12","Visi",0,0,0,0,0,0,0,0,0,0,0,0,1344
2020-12-02,"Druskininkų sav.","15","12","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,25811
2020-12-02,"Marijampolės sav.","18","28","Dalinai",0,0,0,0,0,0,0,0,0,0,0,0,13105
2020-12-02,"Marijampolės sav.","18","28","Visi",0,0,0,0,0,0,0,0,0,0,0,0,17176
2020-12-02,"Marijampolės sav.","18","28","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,25115
2020-12-02,"Kauno m. sav.","19","02","Visi",0,0,0,0,0,0,0,0,0,0,0,0,15409
2020-12-02,"Kauno m. sav.","19","02","Pilnai",0,0,0,0,0,0,0,0,0,0,0,0,22429
