"daily_deaths_all","daily_deaths_def1","daily_deaths_def2","daily_deaths_def3","date","dgn_pos_cum","dgn_pos_day","dgn_prc_cum","dgn_prc_day","dgn_tot_day","municipality_code","municipality_name"
1,0,0,0,2020-03-22,0,0,0,0,0,"49","Kaišiadorių r. sav."
5,0,0,0,2020-03-22,2,0,16.7,0,0,"52","Kauno r. sav."
3,0,0,0,2020-03-22,0,0,0,0,1,"53","Kėdainių r. sav."
1,0,0,0,2020-03-22,0,0,0,0,0,"54","Kelmės r. sav."
1,0,0,0,2020-03-22,0,0,0,0,0,"55","Klaipėdos r. sav."
3,0,0,0,2020-03-22,0,0,0,0,0,"56","Kretingos r. sav."
0,0,0,0,2020-03-22,0,0,0,0,0,"57","Kupiškio r. sav."
0,0,0,0,2020-03-22,0,0,0,0,0,"58","Kazlų Rūdos sav."
2,0,0,0,2020-03-22,0,0,0,0,0,"59","Lazdijų r. sav."
3,0,0,0,2020-03-22,0,0,0,0,0,"61","Mažeikių r. sav."
2,0,0,0,2020-03-22,0,0,0,0,0,"62","Molėtų r. sav."
0,0,0,0,2020-03-22,0,0,0,0,0,"63","Pagėgių sav."
1,0,0,0,2020-03-22,0,0,0,0,0,"65","Pakruojo r. sav."
1,0,0,0,2020-03-22,0,0,0,0,0,"66","Panevėžio r. sav."
1,0,0,0,2020-03-22,0,0,0,0,1,"67","Pasvalio r. sav."
1,0,0,0,2020-03-22,0,0,0,0,0,"68","Plungės r. sav."
2,0,0,0,2020-03-22,0,0,0,0,3,"69","Prienų r. sav."
1,0,0,0,2020-03-22,0,0,0,0,0,"71","Radviliškio r. sav."
1,0,0,0,2020-03-22,1,0,12.5,0,1,"72","Raseinių r. sav."
0,0,0,0,2020-03-22,0,0,0,0,1,"73","Rokiškio r. sav."
2,0,0,0,2020-03-22,0,0,0,0,0,"74","Rietavo sav."
3,0,0,0,2020-03-22,0,0,0,0,0,"75","Skuodo r. sav."
0,0,0,0,2020-03-22,0,0,0,0,1,"77","Tauragės r. sav."
1,0,0,0,2020-03-22,0,0,0,0,0,"78","Telšių r. sav."
4,0,0,0,2020-03-22,0,0,0,0,4,"79","Trakų r. sav."
1,0,0,0,2020-03-22,5,5,41.7,45.5,11,"81","Ukmergės r. sav."
1,0,0,0,2020-03-22,0,0,0,0,0,"82","Utenos r. sav."
1,0,0,0,2020-03-22,0,0,0,0,0,"84","Šakių r. sav."
2,0,0,0,2020-03-22,0,0,0,0,1,"85","Šalčininkų r. sav."
3,0,0,0,2020-03-22,1,0,16.7,0,4,"86","Švenčionių r. sav."
1,0,0,0,2020-03-22,0,0,0,0,0,"87","Šilalės r. sav."
2,0,0,0,2020-03-22,0,0,0,0,0,"88","Šilutės r. sav."
1,0,0,0,2020-03-22,0,0,0,0,0,"89","Širvintų r. sav."
0,0,0,0,2020-03-22,0,0,0,0,0,"91","Šiaulių r. sav."
2,0,0,0,2020-03-22,0,0,0,0,0,"94","Jurbarko r. sav."
108,1,1,1,2020-03-23,88,30,8.9,13.1,229,"00","Lietuva"
1,0,0,0,2020-03-23,0,0,0,0,1,"11","Alytaus m. sav."
0,0,0,0,2020-03-23,0,0,0,0,0,"12","Birštono sav."
15,0,0,0,2020-03-23,44,10,8.1,9.4,106,"13","Vilniaus m. sav."
0,0,0,0,2020-03-23,0,0,0,0,0,"15","Druskininkų sav."
1,0,0,0,2020-03-23,0,0,0,0,1,"18","Marijampolės sav."
14,0,0,0,2020-03-23,12,4,8,14.8,27,"19","Kauno m. sav."
10,0,0,0,2020-03-23,15,10,18.3,27.8,36,"21","Klaipėdos m. sav."
0,0,0,0,2020-03-23,0,0,0,0,0,"23","Neringos sav."
1,0,0,0,2020-03-23,0,0,0,0,4,"25","Palangos m. sav."
1,0,0,0,2020-03-23,1,1,50,100,1,"27","Panevėžio m. sav."
2,0,0,0,2020-03-23,0,0,0,0,1,"29","Šiaulių m. sav."
0,0,0,0,2020-03-23,0,0,0,0,0,"30","Visagino sav."
0,0,0,0,2020-03-23,0,0,0,0,0,"32","Akmenės r. sav."
0,0,0,0,2020-03-23,0,0,0,0,0,"33","Alytaus r. sav."
2,0,0,0,2020-03-23,0,0,0,0,0,"34","Anykščių r. sav."
0,0,0,0,2020-03-23,0,0,0,0,0,"36","Biržų r. sav."
0,0,0,0,2020-03-23,0,0,0,0,0,"38","Varėnos r. sav."
0,0,0,0,2020-03-23,0,0,0,0,0,"39","Vilkaviškio r. sav."
4,0,0,0,2020-03-23,0,0,0,0,7,"41","Vilniaus r. sav."
0,0,0,0,2020-03-23,0,0,0,0,2,"42","Elektrėnų sav."
4,0,0,0,2020-03-23,0,0,0,0,0,"43","Zarasų r. sav."
0,0,0,0,2020-03-23,2,0,40,0,2,"45","Ignalinos r. sav."
1,0,0,0,2020-03-23,0,0,0,0,2,"46","Jonavos r. sav."
1,0,0,0,2020-03-23,0,0,0,0,0,"47","Joniškio r. sav."
0,0,0,0,2020-03-23,0,0,0,0,0,"48","Kalvarijos sav."
4,0,0,0,2020-03-23,0,0,0,0,1,"49","Kaišiadorių r. sav."
6,0,0,0,2020-03-23,2,0,14.3,0,2,"52","Kauno r. sav."
2,0,0,0,2020-03-23,0,0,0,0,0,"53","Kėdainių r. sav."
2,0,0,0,2020-03-23,0,0,0,0,0,"54","Kelmės r. sav."
1,0,0,0,2020-03-23,0,0,0,0,3,"55","Klaipėdos r. sav."
0,0,0,0,2020-03-23,0,0,0,0,4,"56","Kretingos r. sav."
0,0,0,0,2020-03-23,0,0,0,0,0,"57","Kupiškio r. sav."
0,0,0,0,2020-03-23,0,0,0,0,0,"58","Kazlų Rūdos sav."
0,0,0,0,2020-03-23,0,0,0,0,0,"59","Lazdijų r. sav."
1,0,0,0,2020-03-23,0,0,0,0,1,"61","Mažeikių r. sav."
1,0,0,0,2020-03-23,0,0,0,0,1,"62","Molėtų r. sav."
1,0,0,0,2020-03-23,0,0,0,0,0,"63","Pagėgių sav."
0,0,0,0,2020-03-23,0,0,0,0,0,"65","Pakruojo r. sav."
0,0,0,0,2020-03-23,0,0,0,0,0,"66","Panevėžio r. sav."
2,0,0,0,2020-03-23,0,0,0,0,0,"67","Pasvalio r. sav."
2,0,0,0,2020-03-23,0,0,0,0,0,"68","Plungės r. sav."
2,0,0,0,2020-03-23,0,0,0,0,0,"69","Prienų r. sav."
4,0,0,0,2020-03-23,0,0,0,0,1,"71","Radviliškio r. sav."
1,0,0,0,2020-03-23,1,0,12.5,0,0,"72","Raseinių r. sav."
0,0,0,0,2020-03-23,0,0,0,0,0,"73","Rokiškio r. sav."
0,0,0,0,2020-03-23,0,0,0,0,1,"74","Rietavo sav."
1,0,0,0,2020-03-23,0,0,0,0,0,"75","Skuodo r. sav."
0,0,0,0,2020-03-23,0,0,0,0,2,"77","Tauragės r. sav."
2,0,0,0,2020-03-23,0,0,0,0,0,"78","Telšių r. sav."
8,0,0,0,2020-03-23,0,0,0,0,0,"79","Trakų r. sav."
2,1,1,1,2020-03-23,8,3,32,23.1,13,"81","Ukmergės r. sav."
1,0,0,0,2020-03-23,1,1,25,50,2,"82","Utenos r. sav."
